team_rankings_team_short,team_rankings_team_long,espn_team_slug,espn_team_id,espn_team_name
Rider,rider-broncs,rider-broncs,2520,Rider Broncs
Robert Morris,robert-morris-colonials,robert-morris-colonials,2523,Robert Morris Colonials
Rutgers,rutgers-scarlet-knights,rutgers-scarlet-knights,164,Rutgers Scarlet Knights
S Alabama,south-alabama-jaguars,south-alabama-jaguars,6,South Alabama Jaguars
S Carolina St,south-carolina-state-bulldogs,south-carolina-state-bulldogs,2569,South Carolina State Bulldogs
South Carolina,south-carolina-gamecocks,south-carolina-gamecocks,2579,South Carolina Gamecocks
S Dakota St,south-dakota-state-jackrabbits,south-dakota-state-jackrabbits,2571,South Dakota State Jackrabbits
S Florida,south-florida-bulls,south-florida-bulls,58,South Florida Bulls
S Illinois,southern-illinois-salukis,southern-illinois-salukis,79,Southern Illinois Salukis
S Methodist,southern-methodist-mustangs,smu-mustangs,2567,Smu Mustangs
Southern Miss,southern-miss-golden-eagles,southern-miss-golden-eagles,2572,Southern Miss Golden Eagles
S Utah,southern-utah-thunderbirds,southern-utah-thunderbirds,253,Southern Utah Thunderbirds
Sacramento St,sacramento-state-hornets,sacramento-state-hornets,16,Sacramento State Hornets
Sacred Heart,sacred-heart-pioneers,sacred-heart-pioneers,2529,Sacred Heart Pioneers
Saint Louis,saint-louis-billikens,saint-louis-billikens,139,Saint Louis Billikens
Sam Hous St,sam-houston-st-bearkats,sam-houston-bearkats,2534,Sam Houston Bearkats
Samford,samford-bulldogs,samford-bulldogs,2535,Samford Bulldogs
San Diego,san-diego-toreros,san-diego-toreros,301,San Diego Toreros
San Diego St,san-diego-st-aztecs,san-diego-state-aztecs,21,San Diego State Aztecs
San Fransco,san-francisco-dons,san-francisco-dons,2539,San Francisco Dons
San Jose St,san-jose-st-spartans,san-jose-state-spartans,23,San Jose State Spartans
Santa Clara,santa-clara-broncos,santa-clara-broncos,2541,Santa Clara Broncos
SC Upstate,south-carolina-upstate-spartans,south-carolina-upstate-spartans,2908,South Carolina Upstate Spartans
SE Louisiana,southeastern-louisiana-lions,se-louisiana-lions,2545,Se Louisiana Lions
SE Missouri,se-missouri-st-redhawks,southeast-missouri-state-redhawks,2546,Southeast Missouri State Redhawks
Seattle,seattle-redhawks,seattle-u-redhawks,2547,Seattle U Redhawks
Seton Hall,seton-hall-pirates,seton-hall-pirates,2550,Seton Hall Pirates
Siena,siena-saints,siena-saints,2561,Siena Saints
SIU Edward,siu-edwardsville-cougars,siu-edwardsville-cougars,2565,Siu Edwardsville Cougars
South Dakota,south-dakota-coyotes,south-dakota-coyotes,233,South Dakota Coyotes
Southern,southern-jaguars,southern-jaguars,2582,Southern Jaguars
St Bonaventure,st-bonaventure-bonnies,st-bonaventure-bonnies,179,St Bonaventure Bonnies
St Francis PA,st-francis-pa-red-flash,saint-francis-red-flash,2598,Saint Francis Red Flash
St John's,st-johns-red-storm,st-johns-red-storm,2599,St Johns Red Storm
Saint Joseph's,saint-josephs-hawks,saint-josephs-hawks,2603,Saint Josephs Hawks
Saint Mary's,saint-marys-gaels,saint-marys-gaels,2608,Saint Marys Gaels
